Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Agriculture,63.37,65.7,67.26,68.17,68.24,66.19,65.46,66.23,63.23,64.76,63.02,64.32,63.52,67.5,66.89,67.67,68.07,72.65,72.21,75.89,79.67,78.48,78.1,76,70.12,63.89,69.94,71.32,68.8,64.1,67.72,70.73
Bunker Fuels,6.77,7.01,8.5,8.7,9.83,9.95,9.58,10.25,8.97,9.71,9.85,10.54,10.97,11.85,13.69,14.43,14.85,15.82,15.22,14.34,14.59,14.26,13.4,14.26,14.71,15.76,16.8,17.2,19.02,18.55,7.81,6.11
Energy,86.5,95.91,104.46,117.39,131.04,147.93,166.07,170.75,155.87,162.41,163.88,171.94,182.19,190.43,208.03,215.67,217.66,225.02,230.77,222.17,239.89,237.92,256.83,265.79,261.91,268.57,264.5,263.81,261.1,271.64,260,252.18
Industrial Processes,6.74,6.45,8.88,12.89,14.39,16.58,19.41,22.22,16.98,20.6,20.64,23.14,25.75,23.83,24.93,27.24,29.42,31.38,30,30.43,31.42,34.65,38.69,42.36,46.68,50.48,61.75,69.32,77.63,85.7,93.56,97.77
Land-Use Change and Forestry,14.24,14.24,14.24,14.24,14.24,14.16,13.08,13.04,15.52,13.65,12.72,-33.37,-32.17,-32.23,-27.66,-30.96,-32.21,-28.85,-31.73,-30.68,-30.95,1.16,2.94,1.48,4.48,2.98,15.81,16.05,14.34,17.32,17.71,15.93
Waste,1.61,1.64,1.68,1.71,1.74,3.26,4.77,6.29,7.8,9.31,10.83,10.98,11.13,11.28,11.43,11.58,11.67,11.76,11.86,11.95,12.05,12.14,12.23,12.33,12.42,12.51,12.58,12.65,12.72,12.79,12.86,12.9
